recipe_id,region
1000000,SoutheastAsian
1000001,SoutheastAsian
1000002,SoutheastAsian
1000003,SoutheastAsian
1000004,SoutheastAsian
1000005,SoutheastAsian
1000006,SoutheastAsian
1000007,SoutheastAsian
1000008,SoutheastAsian
1000009,SoutheastAsian
1000010,SoutheastAsian
1000011,SoutheastAsian
1000012,SoutheastAsian
1000013,SoutheastAsian
1000014,SoutheastAsian
1000015,SoutheastAsian
1000016,SoutheastAsian
1000017,SoutheastAsian
1000018,SoutheastAsian
1000019,SoutheastAsian
1000020,SoutheastAsian
1000021,SoutheastAsian
1000022,SoutheastAsian
1000023,SoutheastAsian
1000024,SoutheastAsian
1000025,SoutheastAsian
1000026,SoutheastAsian
1000027,SoutheastAsian
1000028,SoutheastAsian
1000029,SoutheastAsian
1000030,SoutheastAsian
1000031,SoutheastAsian
1000032,SoutheastAsian
1000033,SoutheastAsian
1000034,SoutheastAsian
1000035,SoutheastAsian
1000036,SoutheastAsian
1000037,SoutheastAsian
1000038,SoutheastAsian
1000039,SoutheastAsian
1000040,SoutheastAsian
1000041,SoutheastAsian
1000042,SoutheastAsian
1000043,SoutheastAsian
1000044,SoutheastAsian
1000045,SoutheastAsian
1000046,SoutheastAsian
1000047,SoutheastAsian
1000048,SoutheastAsian
1000049,SoutheastAsian
1000050,SoutheastAsian
1000051,SoutheastAsian
1000052,SoutheastAsian
1000053,SoutheastAsian
1000054,SoutheastAsian
1000055,SoutheastAsian
1000056,SoutheastAsian
1000057,SoutheastAsian
1000058,SoutheastAsian
1000059,SoutheastAsian
1000060,SoutheastAsian
1000061,SoutheastAsian
1000062,SoutheastAsian
1000063,SoutheastAsian
1000064,SoutheastAsian
1000065,SouthAsian
1000066,SouthAsian
1000067,SouthAsian
1000068,SouthAsian
1000069,SouthAsian
1000070,SouthAsian
1000071,SouthAsian
1000072,SouthAsian
1000073,SouthAsian
1000074,SouthAsian
1000075,SouthAsian
1000076,SouthAsian
1000077,SouthAsian
1000078,SouthAsian
1000079,SouthAsian
1000080,SouthAsian
1000081,SouthAsian
1000082,SouthAsian
1000083,SouthAsian
1000084,SouthAsian
1000085,SouthAsian
1000086,SouthAsian
1000087,SouthAsian
1000088,SouthAsian
1000089,SouthAsian
1000090,SouthAsian
1000091,SouthAsian
1000092,SouthAsian
1000093,SouthAsian
1000094,SouthAsian
1000095,SouthAsian
1000096,SouthAsian
1000097,SouthAsian
1000098,SouthAsian
1000099,SouthAsian
1000100,SouthAsian
1000101,SouthAsian
1000102,SouthAsian
1000103,SouthAsian
1000104,SouthAsian
1000105,SouthAsian
1000106,SouthAsian
1000107,SouthAsian
1000108,SouthAsian
1000109,SouthAsian
1000110,SouthAsian
1000111,SouthAsian
1000112,SouthAsian
1000113,SouthAsian
1000114,SouthAsian
1000115,SouthAsian
1000116,SouthAsian
1000117,SouthAsian
1000118,SouthAsian
1000119,SouthAsian
1000120,SouthAsian
1000121,SouthAsian
1000122,SouthAsian
1000123,SouthAsian
1000124,SouthAsian
1000125,SouthAsian
1000126,SouthAsian
1000127,SouthAsian
1000128,SouthAsian
1000129,SouthAsian
1000130,SouthAsian
1000131,SouthAsian
1000132,SouthAsian
1000133,SouthAsian
1000134,SouthAsian
1000135,SouthAsian
1000136,SouthAsian
1000137,SouthAsian
1000138,SouthAsian
1000139,SouthAsian
1000140,SouthAsian
1000141,SouthAsian
1000142,SouthAsian
1000143,SouthAsian
1000144,SouthAsian
1000145,SouthAsian
1000146,SouthAsian
1000147,SouthAsian
1000148,SouthAsian
1000149,SouthAsian
1000150,SouthAsian
1000151,SouthAsian
1000152,SouthAsian
1000153,SouthAsian
1000154,SouthAsian
1000155,SouthAsian
1000156,SouthAsian
1000157,SouthAsian
1000158,SouthAsian
1000159,SouthAsian
1000160,SouthAsian
1000161,SouthAsian
1000162,SouthAsian
1000163,SouthAsian
1000164,SouthAsian
1000165,SouthAsian
1000166,SouthAsian
1000167,SouthAsian
1000168,SouthAsian
1000169,SouthAsian
1000170,SouthAsian
1000171,SouthAsian
1000172,SouthAsian
1000173,SouthAsian
1000174,SouthAsian
1000175,SouthAsian
1000176,SouthAsian
1000177,SouthAsian
1000178,SouthAsian
1000179,SouthAsian
1000180,SouthAsian
1000181,SouthAsian
1000182,SouthAsian
1000183,SouthAsian
1000184,SouthAsian
1000185,SouthAsian
1000186,SouthAsian
1000187,SouthAsian
1000188,SouthAsian
1000189,SouthAsian
1000190,SouthAsian
1000191,SouthAsian
1000192,SouthAsian
1000193,SouthAsian
1000194,SouthAsian
1000195,SouthAsian
1000196,SouthAsian
1000197,SouthAsian
1000198,SouthAsian
1000199,SouthAsian
1000200,SouthAsian
1000201,SouthAsian
1000202,SouthAsian
1000203,SouthAsian
1000204,SouthAsian
1000205,SouthAsian
1000206,SouthAsian
1000207,SouthAsian
1000208,SouthAsian
1000209,SouthAsian
1000210,SouthAsian
1000211,SouthAsian
1000212,SouthAsian
1000213,SouthAsian
1000214,SouthAsian
1000215,SouthAsian
1000216,SouthAsian
1000217,SouthAsian
1000218,SouthAsian
1000219,SouthAsian
1000220,SouthAsian
1000221,SouthAsian
1000222,SouthAsian
1000223,SouthAsian
1000224,SouthAsian
1000225,SouthAsian
1000226,SouthAsian
1000227,SouthAsian
1000228,SouthAsian
1000229,SouthAsian
1000230,SouthAsian
1000231,SouthAsian
1000232,SouthAsian
1000233,SouthAsian
1000234,SouthAsian
1000235,SouthAsian
1000236,SouthAsian
1000237,SouthAsian
1000238,SouthAsian
1000239,SouthAsian
1000240,SouthAsian
1000241,SouthAsian
1000242,SouthAsian
1000243,SouthAsian
1000244,SouthAsian
1000245,SouthAsian
1000246,SouthAsian
1000247,SouthAsian
1000248,SouthAsian
1000249,SouthAsian
1000250,SouthAsian
1000251,SouthAsian
1000252,SouthAsian
1000253,SouthAsian
1000254,SouthAsian
1000255,SouthAsian
1000256,SouthAsian
1000257,SouthAsian
1000258,SouthAsian
1000259,SouthAsian
1000260,SouthAsian
1000261,SouthAsian
1000262,SouthAsian
1000263,SouthAsian
1000264,SouthAsian
1000265,SouthAsian
1000266,SouthAsian
1000267,SouthAsian
1000268,SouthAsian
1000269,SouthAsian
1000270,SouthAsian
1000271,SouthAsian
1000272,SouthAsian
1000273,SouthAsian
1000274,SouthAsian
1000275,SouthAsian
1000276,SouthAsian
1000277,SouthAsian
1000278,SouthAsian
1000279,SouthAsian
1000280,SouthAsian
1000281,SouthAsian
1000282,SouthAsian
1000283,SouthAsian
1000284,SouthAsian
1000285,SouthAsian
1000286,SouthAsian
1000287,SouthAsian
1000288,SouthAsian
1000289,SouthAsian
1000290,SouthAsian
1000291,SouthAsian
1000292,SouthAsian
1000293,SouthAsian
1000294,SouthAsian
1000295,SouthAsian
1000296,SouthAsian
1000297,SouthAsian
1000298,SouthAsian
1000299,SouthAsian
1000300,SouthAsian
1000301,SouthAsian
1000302,SouthAsian
1000303,SouthAsian
1000304,SouthAsian
1000305,SouthAsian
1000306,SouthAsian
1000307,SouthAsian
1000308,SouthAsian
1000309,SouthAsian
1000310,SouthAsian
1000311,SouthAsian
1000312,SouthAsian
1000313,SouthAsian
1000314,SouthAsian
1000315,SouthAsian
1000316,SouthAsian
1000317,SouthAsian
1000318,SouthAsian
1000319,SouthAsian
1000320,SouthAsian
1000321,SouthAsian
1000322,SouthAsian
1000323,SouthAsian
1000324,SouthAsian
1000325,SouthAsian
1000326,SouthAsian
1000327,SouthAsian
1000328,SouthAsian
1000329,SouthAsian
1000330,SouthAsian
1000331,SouthAsian
1000332,SouthAsian
1000333,SouthAsian
1000334,SouthAsian
1000335,SouthAsian
1000336,SouthAsian
1000337,SouthAsian
1000338,SouthAsian
1000339,SouthernEuropean
1000340,SouthernEuropean
1000341,SouthernEuropean
1000342,SouthernEuropean
1000343,SouthernEuropean
1000344,SouthernEuropean
1000345,SouthernEuropean
1000346,SouthernEuropean
1000347,SouthernEuropean
1000348,SouthernEuropean
1000349,SouthernEuropean
1000350,SouthernEuropean
1000351,SouthernEuropean
1000352,SouthernEuropean
1000353,SouthernEuropean
