recipe_id,source,cuisine,region
1000000,Epicurious,Vietnamese,SoutheastAsian
1000001,Epicurious,Vietnamese,SoutheastAsian
1000002,Epicurious,Vietnamese,SoutheastAsian
1000003,Epicurious,Vietnamese,SoutheastAsian
1000004,Epicurious,Vietnamese,SoutheastAsian
1000005,Epicurious,Vietnamese,SoutheastAsian
1000006,Epicurious,Vietnamese,SoutheastAsian
1000007,Epicurious,Vietnamese,SoutheastAsian
1000008,Epicurious,Vietnamese,SoutheastAsian
1000009,Epicurious,Vietnamese,SoutheastAsian
1000010,Epicurious,Vietnamese,SoutheastAsian
1000011,Epicurious,Vietnamese,SoutheastAsian
1000012,Epicurious,Vietnamese,SoutheastAsian
1000013,Epicurious,Vietnamese,SoutheastAsian
1000014,Epicurious,Vietnamese,SoutheastAsian
1000015,Epicurious,Vietnamese,SoutheastAsian
1000016,Epicurious,Vietnamese,SoutheastAsian
1000017,Epicurious,Vietnamese,SoutheastAsian
1000018,Epicurious,Vietnamese,SoutheastAsian
1000019,Epicurious,Vietnamese,SoutheastAsian
1000020,Epicurious,Vietnamese,SoutheastAsian
1000021,Epicurious,Vietnamese,SoutheastAsian
1000022,Epicurious,Vietnamese,SoutheastAsian
1000023,Epicurious,Vietnamese,SoutheastAsian
1000024,Epicurious,Vietnamese,SoutheastAsian
1000025,Epicurious,Vietnamese,SoutheastAsian
1000026,Epicurious,Vietnamese,SoutheastAsian
1000027,Epicurious,Vietnamese,SoutheastAsian
1000028,Epicurious,Vietnamese,SoutheastAsian
1000029,Epicurious,Vietnamese,SoutheastAsian
1000030,Epicurious,Vietnamese,SoutheastAsian
1000031,Epicurious,Vietnamese,SoutheastAsian
1000032,Epicurious,Vietnamese,SoutheastAsian
1000033,Epicurious,Vietnamese,SoutheastAsian
1000034,Epicurious,Vietnamese,SoutheastAsian
1000035,Epicurious,Vietnamese,SoutheastAsian
1000036,Epicurious,Vietnamese,SoutheastAsian
1000037,Epicurious,Vietnamese,SoutheastAsian
1000038,Epicurious,Vietnamese,SoutheastAsian
1000039,Epicurious,Vietnamese,SoutheastAsian
1000040,Epicurious,Vietnamese,SoutheastAsian
1000041,Epicurious,Vietnamese,SoutheastAsian
1000042,Epicurious,Vietnamese,SoutheastAsian
1000043,Epicurious,Vietnamese,SoutheastAsian
1000044,Epicurious,Vietnamese,SoutheastAsian
1000045,Epicurious,Vietnamese,SoutheastAsian
1000046,Epicurious,Vietnamese,SoutheastAsian
1000047,Epicurious,Vietnamese,SoutheastAsian
1000048,Epicurious,Vietnamese,SoutheastAsian
1000049,Epicurious,Vietnamese,SoutheastAsian
1000050,Epicurious,Vietnamese,SoutheastAsian
1000051,Epicurious,Vietnamese,SoutheastAsian
1000052,Epicurious,Vietnamese,SoutheastAsian
1000053,Epicurious,Vietnamese,SoutheastAsian
1000054,Epicurious,Vietnamese,SoutheastAsian
1000055,Epicurious,Vietnamese,SoutheastAsian
1000056,Epicurious,Vietnamese,SoutheastAsian
1000057,Epicurious,Vietnamese,SoutheastAsian
1000058,Epicurious,Vietnamese,SoutheastAsian
1000059,Epicurious,Vietnamese,SoutheastAsian
1000060,Epicurious,Vietnamese,SoutheastAsian
1000061,Epicurious,Vietnamese,SoutheastAsian
1000062,Epicurious,Vietnamese,SoutheastAsian
1000063,Epicurious,Vietnamese,SoutheastAsian
1000064,Epicurious,Vietnamese,SoutheastAsian
1000065,Epicurious,Indian,SouthAsian
1000066,Epicurious,Indian,SouthAsian
1000067,Epicurious,Indian,SouthAsian
1000068,Epicurious,Indian,SouthAsian
1000069,Epicurious,Indian,SouthAsian
1000070,Epicurious,Indian,SouthAsian
