cuisine_name;rel_type;area_name
African;LOCATED_IN;African
East-African;LOCATED_IN;African
Moroccan;LOCATED_IN;African
North-African;LOCATED_IN;African
South-African;LOCATED_IN;African
West-African;LOCATED_IN;African
China;LOCATED_IN;EastAsian
chinese;LOCATED_IN;EastAsian
Chinese;LOCATED_IN;EastAsian
east_asian;LOCATED_IN;EastAsian
Japan;LOCATED_IN;EastAsian
japanese;LOCATED_IN;EastAsian
Japanese;LOCATED_IN;EastAsian
Korea;LOCATED_IN;EastAsian
korean;LOCATED_IN;EastAsian
Eastern-Europe;LOCATED_IN;EasternEuropean
EasternEuropean_Russian;LOCATED_IN;EasternEuropean
Caribbean;LOCATED_IN;LatinAmerican
Central_SouthAmerican;LOCATED_IN;LatinAmerican
Mexican;LOCATED_IN;LatinAmerican
mexico;LOCATED_IN;LatinAmerican
Mexico;LOCATED_IN;LatinAmerican
South-America;LOCATED_IN;LatinAmerican
Iran;LOCATED_IN;MiddleEastern
Israel;LOCATED_IN;MiddleEastern
Jewish;LOCATED_IN;MiddleEastern
Lebanon;LOCATED_IN;MiddleEastern
MiddleEastern;LOCATED_IN;MiddleEastern
Turkey;LOCATED_IN;MiddleEastern
American;LOCATED_IN;NorthAmerican
Cajun_Creole;LOCATED_IN;NorthAmerican
Canada;LOCATED_IN;NorthAmerican
Southern_SoulFood;LOCATED_IN;NorthAmerican
Southwestern;LOCATED_IN;NorthAmerican
Scandinavia;LOCATED_IN;NorthernEuropean
Scandinavian;LOCATED_IN;NorthernEuropean
Bangladesh;LOCATED_IN;SouthAsian
India;LOCATED_IN;SouthAsian
Indian;LOCATED_IN;SouthAsian
Pakistan;LOCATED_IN;SouthAsian
Indonesia;LOCATED_IN;SoutheastAsian
Malaysia;LOCATED_IN;SoutheastAsian
Philippines;LOCATED_IN;SoutheastAsian
Thai;LOCATED_IN;SoutheastAsian
Thailand;LOCATED_IN;SoutheastAsian
Vietnam;LOCATED_IN;SoutheastAsian
Vietnamese;LOCATED_IN;SoutheastAsian
Greek;LOCATED_IN;SouthernEuropean
Italian;LOCATED_IN;SouthernEuropean
italian;LOCATED_IN;SouthernEuropean
Italy;LOCATED_IN;SouthernEuropean
Mediterranean;LOCATED_IN;SouthernEuropean
Portugal;LOCATED_IN;SouthernEuropean
Spain;LOCATED_IN;SouthernEuropean
Spanish_Portuguese;LOCATED_IN;SouthernEuropean
Austria;LOCATED_IN;WesternEuropean
Belgium;LOCATED_IN;WesternEuropean
English_Scottish;LOCATED_IN;WesternEuropean
France;LOCATED_IN;WesternEuropean
French;LOCATED_IN;WesternEuropean
German;LOCATED_IN;WesternEuropean
Germany;LOCATED_IN;WesternEuropean
Irish;LOCATED_IN;WesternEuropean
Netherlands;LOCATED_IN;WesternEuropean
Switzerland;LOCATED_IN;WesternEuropean
UK-and-Ireland;LOCATED_IN;WesternEuropean
western;LOCATED_IN;WesternEuropean
asian;LOCATED_IN;Asian
Asian;LOCATED_IN;Asian
